to,from,weight
ASV1520,ASV55,0.423960718
ccbef4f7fdf76aab7fed38193f0dbbb4,ASV1806,1
ASV831,349a635ea622db56824934499ab10052,0.014269467
ASV393,ASV570,0.607988327
ASV1732,ASV117,1
ASV9,ASV1882,3.888500744
ASV74,ASV1334,0.530575229
ASV1278,ASV66,5.0912117
ASV785,ASV106,0.689710215
ASV1061,c931b5b3c970964334341007cd402e96,1
ASV243,ASV839,0.429556231
ASV867,ASV55,0.872114247
2d3181c6a21fd8774c7e24773f5d5e05,ASV394,0.607988327
ASV785,ASV100,0.732724923
f829f7dd05af5b9ae70b3cb07c41bb7a,ASV444,0.72547625
ASV1570,ASV88,0.515308274
ASV109,ASV1253,0.541443538
ASV8,ASV926,0.682212367
ASV58,ASV66,0.583324576
ASV30,ASV1919,1
5ab75def4e6aa82a790cbc92161365b1,ASV926,3.18547478
ASV1108,ASV1253,1
ASV1518,ASV288,1
ASV577,ASV1253,4.428640703
6598ffab6ef90f90ee7a86a9a16f5b82,5ab75def4e6aa82a790cbc92161365b1,0.504165829
ASV81,951da216cb3423c01f473555ea9e8128,0.92050967
ASV888,ASV199,4.407018943
ASV1081,ASV294,0.04813379
